터미널: 감곡시외터미널
출발,요금(어른),소요시간
07:00,12,800 원,02:00
07:40,12,800 원,02:00
08:00,12,800 원,02:00
08:30,12,800 원,02:00
08:40,12,800 원,02:00
09:00,12,800 원,02:00
09:40,12,800 원,02:00
10:00,12,800 원,02:00
10:20,12,800 원,02:00
11:00,12,800 원,02:00
11:20,12,800 원,02:00
11:40,9,900 원,02:00
12:20,12,800 원,02:00
12:40,12,800 원,02:00
13:00,12,800 원,02:00
13:40,12,800 원,02:00
14:40,12,800 원,02:00
15:20,12,800 원,02:00
15:40,12,800 원,02:00
16:20,12,800 원,02:00
16:40,12,800 원,02:00
17:00,12,800 원,02:00
17:20,12,800 원,02:00
18:00,12,800 원,02:00
18:20,12,800 원,02:00
18:40,12,800 원,02:00
19:00,9,900 원,02:00
19:20,12,800 원,02:00
19:40,12,800 원,02:00
20:30,12,800 원,02:44
